Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
514.00	0.0000	0.0000	infinite	41.707	45.980	481.96	52.428	60.742	393.10	undefined	undefined	undefined	vapor
514.00	0.10000	0.023488	42.576	41.655	45.913	130.19	52.865	61.384	392.05	11.138	undefined	undefined	vapor
514.00	0.20000	0.047155	21.206	41.602	45.844	124.32	53.309	62.041	390.98	11.179	undefined	undefined	vapor
514.00	0.30000	0.071009	14.083	41.549	45.774	120.85	53.759	62.715	389.90	11.220	undefined	undefined	vapor
514.00	0.40000	0.095056	10.520	41.495	45.703	118.35	54.216	63.404	388.80	11.260	undefined	undefined	vapor
514.00	0.50000	0.11930	8.3822	41.440	45.631	116.38	54.680	64.112	387.68	11.301	undefined	undefined	vapor
514.00	0.60000	0.14375	6.9565	41.384	45.558	114.76	55.151	64.838	386.55	11.341	undefined	undefined	vapor
514.00	0.70000	0.16841	5.9378	41.328	45.484	113.36	55.631	65.584	385.40	11.380	undefined	undefined	vapor
514.00	0.80000	0.19329	5.1735	41.270	45.409	112.14	56.119	66.350	384.24	11.419	undefined	undefined	vapor
514.00	0.90000	0.21840	4.5788	41.212	45.332	111.05	56.615	67.138	383.06	11.457	undefined	undefined	vapor
514.00	1.0000	0.24374	4.1027	41.152	45.255	110.05	57.121	67.949	381.86	11.495	undefined	undefined	vapor
514.00	1.1000	0.26932	3.7130	41.092	45.176	109.14	57.636	68.783	380.64	11.531	undefined	undefined	vapor
514.00	1.2000	0.29516	3.3880	41.031	45.096	108.29	58.161	69.643	379.41	11.567	undefined	undefined	vapor
514.00	1.3000	0.32125	3.1129	40.968	45.015	107.51	58.696	70.529	378.16	11.601	undefined	undefined	vapor
514.00	1.4000	0.34760	2.8768	40.905	44.933	106.76	59.243	71.442	376.90	11.634	undefined	undefined	vapor
514.00	1.5000	0.37424	2.6721	40.841	44.849	106.06	59.800	72.385	375.62	11.666	undefined	undefined	vapor
514.00	1.6000	0.40116	2.4928	40.775	44.764	105.39	60.369	73.357	374.32	11.696	undefined	undefined	vapor
514.00	1.7000	0.42837	2.3344	40.709	44.677	104.76	60.950	74.362	373.01	11.725	undefined	undefined	vapor
514.00	1.8000	0.45589	2.1935	40.641	44.589	104.14	61.544	75.399	371.68	11.752	undefined	undefined	vapor
514.00	1.9000	0.48373	2.0673	40.572	44.500	103.56	62.151	76.472	370.33	11.777	undefined	undefined	vapor
514.00	2.0000	0.51190	1.9535	40.502	44.409	102.99	62.771	77.580	368.97	11.799	undefined	undefined	vapor
514.00	2.1000	0.54040	1.8505	40.431	44.317	102.44	63.404	78.727	367.60	11.820	undefined	undefined	vapor
514.00	2.2000	0.56925	1.7567	40.358	44.223	101.91	64.052	79.912	366.21	11.837	undefined	undefined	vapor
514.00	2.3000	0.59847	1.6709	40.285	44.128	101.39	64.714	81.139	364.81	11.853	undefined	undefined	vapor
514.00	2.4000	0.62806	1.5922	40.209	44.031	100.88	65.390	82.408	363.39	11.865	undefined	undefined	vapor
514.00	2.5000	0.65804	1.5197	40.133	43.932	100.39	66.082	83.722	361.96	11.875	undefined	undefined	vapor
514.00	2.6000	0.68843	1.4526	40.055	43.832	99.902	66.789	85.081	360.51	11.881	undefined	undefined	vapor
514.00	2.7000	0.71923	1.3904	39.976	43.730	99.428	67.512	86.488	359.05	11.884	undefined	undefined	vapor
514.00	2.8000	0.75046	1.3325	39.895	43.626	98.961	68.250	87.944	357.58	11.884	undefined	undefined	vapor
