Temperature (C)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
50.000	3.0000	0.11483	8.7086	27.471	30.084	130.88	37.699	47.292	247.44	1.9320	13.689	0.014375	vapor
55.000	3.0000	0.11290	8.8571	27.664	30.321	131.61	38.011	47.525	249.33	1.8378	13.902	0.014763	vapor
60.000	3.0000	0.11105	9.0051	27.858	30.559	132.33	38.336	47.779	251.19	1.7502	14.114	0.015162	vapor
65.000	3.0000	0.10926	9.1526	28.053	30.799	133.04	38.673	48.050	253.03	1.6685	14.325	0.015572	vapor
70.000	3.0000	0.10753	9.2995	28.250	31.040	133.75	39.020	48.338	254.84	1.5922	14.535	0.015992	vapor
75.000	3.0000	0.10586	9.4460	28.448	31.282	134.45	39.376	48.640	256.62	1.5210	14.745	0.016423	vapor
80.000	3.0000	0.10425	9.5921	28.649	31.526	135.14	39.740	48.953	258.39	1.4542	14.954	0.016864	vapor
85.000	3.0000	0.10269	9.7378	28.850	31.772	135.83	40.111	49.278	260.13	1.3917	15.161	0.017315	vapor
90.000	3.0000	0.10118	9.8831	29.054	32.019	136.52	40.487	49.612	261.85	1.3330	15.368	0.017777	vapor
95.000	3.0000	0.099719	10.028	29.260	32.268	137.20	40.869	49.954	263.56	1.2779	15.574	0.018250	vapor
100.00	3.0000	0.098301	10.173	29.467	32.519	137.88	41.255	50.304	265.24	1.2260	15.780	0.018733	vapor
105.00	3.0000	0.096924	10.317	29.676	32.771	138.55	41.644	50.660	266.91	1.1772	15.984	0.019227	vapor
110.00	3.0000	0.095589	10.461	29.887	33.025	139.22	42.037	51.021	268.56	1.1311	16.187	0.019731	vapor
115.00	3.0000	0.094291	10.605	30.100	33.281	139.88	42.432	51.387	270.20	1.0876	16.390	0.020245	vapor
120.00	3.0000	0.093031	10.749	30.314	33.539	140.54	42.830	51.757	271.83	1.0465	16.591	0.020770	vapor
125.00	3.0000	0.091805	10.893	30.531	33.799	141.20	43.228	52.130	273.44	1.0076	16.792	0.021305	vapor
130.00	3.0000	0.090613	11.036	30.750	34.060	141.85	43.628	52.506	275.03	0.97074	16.992	0.021851	vapor
135.00	3.0000	0.089453	11.179	30.970	34.324	142.50	44.029	52.884	276.62	0.93582	17.191	0.022407	vapor
140.00	3.0000	0.088324	11.322	31.193	34.589	143.15	44.430	53.264	278.19	0.90268	17.389	0.022973	vapor
145.00	3.0000	0.087224	11.465	31.417	34.856	143.79	44.832	53.645	279.75	0.87119	17.586	0.023550	vapor
150.00	3.0000	0.086153	11.607	31.643	35.126	144.43	45.233	54.028	281.29	0.84126	17.783	0.024137	vapor
