Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
615.60	1.0000	0.19951	5.0123	47.269	52.281	122.52	62.206	71.061	418.23	3.8171	undefined	undefined	vapor
615.60	1.1000	0.21994	4.5468	47.253	52.254	121.70	62.442	71.361	417.39	3.8386	undefined	undefined	vapor
615.60	1.2000	0.24045	4.1588	47.236	52.227	120.95	62.679	71.664	416.56	3.8598	undefined	undefined	vapor
615.60	1.3000	0.26106	3.8305	47.219	52.199	120.25	62.917	71.970	415.72	3.8807	undefined	undefined	vapor
615.60	1.4000	0.28177	3.5490	47.202	52.171	119.61	63.157	72.279	414.88	3.9012	undefined	undefined	vapor
615.60	1.5000	0.30257	3.3051	47.185	52.142	119.01	63.398	72.592	414.04	3.9214	undefined	undefined	vapor
615.60	1.6000	0.32346	3.0916	47.167	52.114	118.44	63.641	72.907	413.20	3.9413	undefined	undefined	vapor
615.60	1.7000	0.34445	2.9032	47.149	52.085	117.91	63.884	73.226	412.36	3.9608	undefined	undefined	vapor
615.60	1.8000	0.36553	2.7357	47.131	52.056	117.40	64.129	73.548	411.52	3.9799	undefined	undefined	vapor
615.60	1.9000	0.38672	2.5859	47.113	52.026	116.92	64.375	73.873	410.68	3.9986	undefined	undefined	vapor
615.60	2.0000	0.40800	2.4510	47.095	51.997	116.47	64.622	74.201	409.85	4.0170	undefined	undefined	vapor
615.60	2.1000	0.42939	2.3289	47.076	51.967	116.03	64.870	74.533	409.01	4.0349	undefined	undefined	vapor
615.60	2.2000	0.45087	2.2179	47.057	51.936	115.61	65.120	74.868	408.17	4.0525	undefined	undefined	vapor
615.60	2.3000	0.47246	2.1166	47.038	51.906	115.21	65.371	75.206	407.34	4.0696	undefined	undefined	vapor
615.60	2.4000	0.49415	2.0237	47.018	51.875	114.82	65.623	75.547	406.50	4.0863	undefined	undefined	vapor
