Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
555.00	0.033333	0.0072432	138.06	60.232	64.834	170.55	201.83	210.24	238.34	5.8417	undefined	undefined	vapor
555.00	0.066667	0.014526	68.843	60.203	64.793	164.73	201.87	210.39	237.75	5.8807	undefined	undefined	vapor
555.00	0.10000	0.021848	45.770	60.175	64.752	161.31	201.91	210.54	237.16	5.9199	undefined	undefined	vapor
555.00	0.13333	0.029212	34.233	60.146	64.710	158.86	201.96	210.70	236.56	5.9596	undefined	undefined	vapor
555.00	0.16667	0.036616	27.310	60.116	64.668	156.96	202.01	210.86	235.96	5.9995	undefined	undefined	vapor
555.00	0.20000	0.044063	22.695	60.087	64.626	155.39	202.06	211.03	235.36	6.0398	undefined	undefined	vapor
555.00	0.23333	0.051552	19.398	60.057	64.583	154.05	202.11	211.20	234.75	6.0805	undefined	undefined	vapor
555.00	0.26667	0.059084	16.925	60.027	64.540	152.89	202.17	211.38	234.14	6.1215	undefined	undefined	vapor
555.00	0.30000	0.066660	15.001	59.996	64.497	151.85	202.22	211.56	233.52	6.1628	undefined	undefined	vapor
555.00	0.33333	0.074281	13.462	59.966	64.453	150.92	202.28	211.75	232.90	6.2046	undefined	undefined	vapor
555.00	0.36667	0.081948	12.203	59.935	64.409	150.07	202.34	211.94	232.28	6.2466	undefined	undefined	vapor
555.00	0.40000	0.089660	11.153	59.903	64.365	149.29	202.40	212.14	231.65	6.2891	undefined	undefined	vapor
555.00	0.43333	0.097420	10.265	59.872	64.320	148.57	202.47	212.34	231.02	6.3320	undefined	undefined	vapor
555.00	0.46667	0.10523	9.5033	59.840	64.275	147.89	202.54	212.55	230.38	6.3752	undefined	undefined	vapor
555.00	0.50000	0.11308	8.8431	59.808	64.230	147.26	202.60	212.76	229.74	6.4189	undefined	undefined	vapor
555.00	0.53333	0.12099	8.2653	59.776	64.184	146.66	202.68	212.98	229.10	6.4629	undefined	undefined	vapor
555.00	0.56667	0.12894	7.7554	59.743	64.138	146.10	202.75	213.21	228.45	6.5074	undefined	undefined	vapor
555.00	0.60000	0.13695	7.3020	59.710	64.092	145.57	202.82	213.44	227.80	6.5523	undefined	undefined	vapor
555.00	0.63333	0.14501	6.8962	59.677	64.045	145.05	202.90	213.68	227.14	6.5976	undefined	undefined	vapor
555.00	0.66667	0.15312	6.5309	59.644	63.998	144.57	202.98	213.92	226.48	6.6433	undefined	undefined	vapor
555.00	0.70000	0.16128	6.2002	59.610	63.950	144.10	203.06	214.17	225.81	6.6895	undefined	undefined	vapor
555.00	0.73333	0.16950	5.8996	59.576	63.902	143.65	203.15	214.43	225.14	6.7362	undefined	undefined	vapor
555.00	0.76667	0.17778	5.6249	59.541	63.854	143.22	203.23	214.70	224.46	6.7833	undefined	undefined	vapor
555.00	0.80000	0.18611	5.3731	59.507	63.805	142.80	203.32	214.97	223.78	6.8308	undefined	undefined	vapor
555.00	0.83333	0.19450	5.1413	59.471	63.756	142.39	203.41	215.25	223.10	6.8789	undefined	undefined	vapor
555.00	0.86667	0.20295	4.9272	59.436	63.706	142.00	203.51	215.53	222.41	6.9274	undefined	undefined	vapor
