Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
664.80	1.0000	0.18924	5.2844	83.729	89.013	182.40	237.18	247.71	250.31	3.7879	undefined	undefined	vapor
664.80	1.1000	0.20914	4.7815	83.659	88.919	181.50	237.25	248.04	249.24	3.8098	undefined	undefined	vapor
664.80	1.2000	0.22923	4.3624	83.589	88.824	180.67	237.32	248.37	248.18	3.8319	undefined	undefined	vapor
664.80	1.3000	0.24952	4.0077	83.519	88.729	179.90	237.39	248.72	247.10	3.8544	undefined	undefined	vapor
664.80	1.4000	0.27001	3.7036	83.448	88.633	179.18	237.46	249.07	246.03	3.8773	undefined	undefined	vapor
664.80	1.5000	0.29070	3.4400	83.376	88.536	178.49	237.53	249.44	244.94	3.9005	undefined	undefined	vapor
664.80	1.6000	0.31160	3.2092	83.303	88.438	177.85	237.61	249.82	243.85	3.9241	undefined	undefined	vapor
664.80	1.7000	0.33272	3.0055	83.230	88.340	177.23	237.69	250.21	242.76	3.9482	undefined	undefined	vapor
664.80	1.8000	0.35405	2.8244	83.156	88.240	176.64	237.78	250.61	241.65	3.9727	undefined	undefined	vapor
664.80	1.9000	0.37561	2.6623	83.082	88.140	176.08	237.86	251.02	240.54	3.9976	undefined	undefined	vapor
664.80	2.0000	0.39740	2.5164	83.007	88.040	175.54	237.95	251.45	239.42	4.0230	undefined	undefined	vapor
664.80	2.1000	0.41942	2.3842	82.931	87.938	175.02	238.04	251.89	238.29	4.0489	undefined	undefined	vapor
664.80	2.2000	0.44169	2.2640	82.855	87.836	174.51	238.14	252.35	237.15	4.0753	undefined	undefined	vapor
664.80	2.3000	0.46420	2.1542	82.778	87.732	174.03	238.23	252.82	236.01	4.1022	undefined	undefined	vapor
664.80	2.4000	0.48697	2.0535	82.700	87.628	173.55	238.33	253.30	234.85	4.1298	undefined	undefined	vapor
664.80	2.5000	0.50999	1.9608	82.621	87.523	173.09	238.43	253.80	233.68	4.1579	undefined	undefined	vapor
664.80	2.6000	0.53329	1.8752	82.542	87.417	172.65	238.54	254.31	232.50	4.1866	undefined	undefined	vapor
664.80	2.7000	0.55686	1.7958	82.462	87.310	172.21	238.64	254.84	231.31	4.2160	undefined	undefined	vapor
664.80	2.8000	0.58072	1.7220	82.381	87.202	171.78	238.75	255.39	230.11	4.2460	undefined	undefined	vapor
664.80	2.9000	0.60487	1.6532	82.299	87.093	171.37	238.86	255.96	228.90	4.2767	undefined	undefined	vapor
664.80	3.0000	0.62933	1.5890	82.216	86.983	170.96	238.97	256.54	227.67	4.3081	undefined	undefined	vapor
664.80	3.1000	0.65410	1.5288	82.133	86.872	170.55	239.08	257.14	226.43	4.3403	undefined	undefined	vapor
664.80	3.2000	0.67919	1.4723	82.049	86.760	170.16	239.20	257.76	225.17	4.3732	undefined	undefined	vapor
664.80	3.3000	0.70461	1.4192	81.963	86.647	169.77	239.31	258.41	223.90	4.4069	undefined	undefined	vapor
664.80	3.4000	0.73038	1.3692	81.877	86.532	169.39	239.43	259.07	222.61	4.4414	undefined	undefined	vapor
664.80	3.5000	0.75650	1.3219	81.790	86.417	169.01	239.55	259.75	221.31	4.4767	undefined	undefined	vapor
664.80	3.6000	0.78299	1.2772	81.702	86.300	168.64	239.67	260.46	219.99	4.5129	undefined	undefined	vapor
664.80	3.7000	0.80987	1.2348	81.613	86.182	168.28	239.79	261.19	218.66	4.5499	undefined	undefined	vapor
664.80	3.8000	0.83713	1.1946	81.523	86.062	167.91	239.92	261.95	217.31	4.5877	undefined	undefined	vapor
664.80	3.9000	0.86481	1.1563	81.432	85.941	167.55	240.04	262.73	215.95	4.6264	undefined	undefined	vapor
664.80	4.0000	0.89292	1.1199	81.339	85.819	167.20	240.17	263.54	214.57	4.6660	undefined	undefined	vapor
664.80	4.1000	0.92146	1.0852	81.246	85.695	166.85	240.29	264.38	213.17	4.7063	undefined	undefined	vapor
664.80	4.1000	0.92146	1.0852	81.246	85.695	166.85	240.29	264.38	213.17	4.7063	undefined	undefined	supercritical
664.80	4.1000	0.92146	1.0852	81.246	85.695	166.85	240.29	264.38	213.17	4.7063	undefined	undefined	supercritical
664.80	4.2000	0.95046	1.0521	81.151	85.570	166.50	240.42	265.25	211.76	4.7475	undefined	undefined	supercritical
664.80	4.3000	0.97993	1.0205	81.055	85.443	166.15	240.54	266.15	210.33	4.7894	undefined	undefined	supercritical
664.80	4.4000	1.0099	0.99020	80.958	85.315	165.81	240.67	267.08	208.89	4.8320	undefined	undefined	supercritical
664.80	4.5000	1.0404	0.96119	80.860	85.185	165.47	240.80	268.04	207.44	4.8752	undefined	undefined	supercritical
664.80	4.6000	1.0714	0.93338	80.760	85.054	165.13	240.92	269.04	205.98	4.9189	undefined	undefined	supercritical
664.80	4.7000	1.1029	0.90668	80.659	84.921	164.79	241.05	270.07	204.51	4.9630	undefined	undefined	supercritical
664.80	4.8000	1.1350	0.88102	80.557	84.786	164.45	241.17	271.14	203.02	5.0074	undefined	undefined	supercritical
664.80	4.9000	1.1678	0.85634	80.453	84.649	164.11	241.30	272.25	201.54	5.0518	undefined	undefined	supercritical
664.80	5.0000	1.2011	0.83259	80.348	84.511	163.78	241.42	273.39	200.05	5.0961	undefined	undefined	supercritical
664.80	5.1000	1.2350	0.80971	80.241	84.370	163.44	241.54	274.57	198.57	5.1400	undefined	undefined	supercritical
664.80	5.2000	1.2696	0.78766	80.133	84.228	163.11	241.65	275.80	197.09	5.1831	undefined	undefined	supercritical
664.80	5.3000	1.3048	0.76638	80.023	84.085	162.78	241.77	277.05	195.62	5.2251	undefined	undefined	supercritical
664.80	5.4000	1.3408	0.74585	79.911	83.939	162.44	241.88	278.35	194.17	5.2656	undefined	undefined	supercritical
664.80	5.5000	1.3774	0.72602	79.798	83.791	162.11	241.99	279.68	192.75	5.3041	undefined	undefined	supercritical
664.80	5.6000	1.4147	0.70687	79.684	83.642	161.78	242.10	281.04	191.35	5.3400	undefined	undefined	supercritical
664.80	5.7000	1.4527	0.68837	79.568	83.491	161.45	242.20	282.44	189.99	5.3727	undefined	undefined	supercritical
664.80	5.8000	1.4915	0.67049	79.450	83.339	161.12	242.30	283.86	188.68	5.4016	undefined	undefined	supercritical
664.80	5.9000	1.5309	0.65320	79.331	83.185	160.78	242.39	285.30	187.42	5.4259	undefined	undefined	supercritical
664.80	6.0000	1.5711	0.63651	79.210	83.029	160.45	242.48	286.75	186.24	5.4449	undefined	undefined	supercritical
664.80	6.1000	1.6119	0.62037	79.088	82.872	160.12	242.56	288.20	185.13	5.4578	undefined	undefined	supercritical
664.80	6.2000	1.6535	0.60479	78.965	82.715	159.79	242.64	289.66	184.11	5.4638	undefined	undefined	supercritical
664.80	6.3000	1.6956	0.58976	78.841	82.556	159.47	242.71	291.09	183.18	5.4622	undefined	undefined	supercritical
664.80	6.4000	1.7384	0.57525	78.715	82.397	159.14	242.77	292.50	182.37	5.4523	undefined	undefined	supercritical
664.80	6.5000	1.7817	0.56127	78.589	82.237	158.81	242.83	293.87	181.68	5.4335	undefined	undefined	supercritical
664.80	6.6000	1.8255	0.54780	78.462	82.077	158.49	242.88	295.19	181.11	5.4055	undefined	undefined	supercritical
664.80	6.7000	1.8697	0.53484	78.335	81.918	158.17	242.92	296.44	180.69	5.3680	undefined	undefined	supercritical
664.80	6.8000	1.9143	0.52239	78.207	81.759	157.85	242.96	297.62	180.40	5.3211	undefined	undefined	supercritical
664.80	6.9000	1.9591	0.51043	78.079	81.601	157.53	242.99	298.72	180.26	5.2649	undefined	undefined	supercritical
664.80	7.0000	2.0042	0.49896	77.952	81.445	157.22	243.01	299.72	180.27	5.1999	undefined	undefined	supercritical
664.80	7.1000	2.0493	0.48797	77.825	81.290	156.92	243.02	300.63	180.42	5.1268	undefined	undefined	supercritical
664.80	7.2000	2.0944	0.47745	77.699	81.137	156.61	243.03	301.44	180.71	5.0464	undefined	undefined	supercritical
664.80	7.3000	2.1395	0.46739	77.574	80.986	156.31	243.04	302.16	181.14	4.9598	undefined	undefined	supercritical
664.80	7.4000	2.1845	0.45778	77.449	80.837	156.02	243.04	302.77	181.70	4.8681	undefined	undefined	supercritical
664.80	7.5000	2.2292	0.44860	77.326	80.691	155.73	243.03	303.30	182.37	4.7726	undefined	undefined	supercritical
664.80	7.6000	2.2736	0.43983	77.205	80.548	155.45	243.02	303.75	183.15	4.6742	undefined	undefined	supercritical
664.80	7.7000	2.3177	0.43146	77.085	80.407	155.17	243.00	304.13	184.02	4.5743	undefined	undefined	supercritical
664.80	7.8000	2.3614	0.42347	76.966	80.269	154.90	242.99	304.44	184.97	4.4738	undefined	undefined	supercritical
664.80	7.9000	2.4047	0.41585	76.849	80.135	154.64	242.96	304.70	185.99	4.3738	undefined	undefined	supercritical
664.80	8.0000	2.4476	0.40857	76.734	80.003	154.38	242.94	304.92	187.07	4.2749	undefined	undefined	supercritical
664.80	8.1000	2.4900	0.40161	76.621	79.874	154.12	242.91	305.10	188.19	4.1780	undefined	undefined	supercritical
664.80	8.2000	2.5319	0.39497	76.509	79.748	153.87	242.89	305.26	189.34	4.0836	undefined	undefined	supercritical
664.80	8.3000	2.5733	0.38861	76.399	79.625	153.63	242.86	305.41	190.52	3.9922	undefined	undefined	supercritical
664.80	8.4000	2.6142	0.38253	76.291	79.504	153.39	242.82	305.54	191.72	3.9041	undefined	undefined	supercritical
664.80	8.5000	2.6546	0.37670	76.184	79.386	153.15	242.79	305.68	192.92	3.8195	undefined	undefined	supercritical
664.80	8.6000	2.6946	0.37112	76.079	79.270	152.92	242.76	305.81	194.11	3.7385	undefined	undefined	supercritical
664.80	8.7000	2.7341	0.36575	75.975	79.157	152.70	242.72	305.96	195.31	3.6614	undefined	undefined	supercritical
664.80	8.8000	2.7731	0.36061	75.873	79.046	152.48	242.69	306.11	196.48	3.5880	undefined	undefined	supercritical
664.80	8.9000	2.8117	0.35565	75.772	78.938	152.26	242.65	306.29	197.65	3.5184	undefined	undefined	supercritical
664.80	9.0000	2.8499	0.35089	75.673	78.831	152.05	242.62	306.48	198.79	3.4524	undefined	undefined	supercritical
664.80	9.1000	2.8877	0.34630	75.575	78.726	151.84	242.58	306.68	199.91	3.3899	undefined	undefined	supercritical
664.80	9.2000	2.9251	0.34187	75.478	78.623	151.63	242.55	306.91	201.01	3.3309	undefined	undefined	supercritical
664.80	9.3000	2.9621	0.33760	75.382	78.521	151.42	242.51	307.16	202.09	3.2750	undefined	undefined	supercritical
664.80	9.4000	2.9988	0.33347	75.287	78.422	151.22	242.47	307.43	203.14	3.2222	undefined	undefined	supercritical
664.80	9.5000	3.0351	0.32947	75.193	78.323	151.03	242.44	307.72	204.17	3.1722	undefined	undefined	supercritical
664.80	9.6000	3.0712	0.32561	75.100	78.226	150.83	242.40	308.03	205.18	3.1248	undefined	undefined	supercritical
664.80	9.7000	3.1069	0.32187	75.009	78.131	150.64	242.36	308.36	206.17	3.0798	undefined	undefined	supercritical
664.80	9.8000	3.1423	0.31824	74.918	78.036	150.45	242.32	308.71	207.14	3.0369	undefined	undefined	supercritical
664.80	9.9000	3.1774	0.31472	74.827	77.943	150.26	242.28	309.06	208.10	2.9958	undefined	undefined	supercritical
664.80	10.000	3.2123	0.31130	74.738	77.851	150.08	242.24	309.43	209.05	2.9564	undefined	undefined	supercritical
664.80	10.100	3.2469	0.30799	74.650	77.760	149.89	242.20	309.80	209.99	2.9184	undefined	undefined	supercritical
664.80	10.200	3.2812	0.30476	74.562	77.670	149.71	242.16	310.18	210.94	2.8814	undefined	undefined	supercritical
664.80	10.300	3.3153	0.30163	74.475	77.581	149.53	242.12	310.55	211.89	2.8453	undefined	undefined	supercritical
664.80	10.400	3.3491	0.29859	74.388	77.494	149.35	242.08	310.91	212.86	2.8098	undefined	undefined	supercritical
664.80	10.500	3.3827	0.29562	74.303	77.407	149.18	242.04	311.26	213.84	2.7745	undefined	undefined	supercritical
664.80	10.600	3.4159	0.29274	74.218	77.321	149.01	242.00	311.59	214.86	2.7394	undefined	undefined	supercritical
664.80	10.700	3.4489	0.28994	74.134	77.236	148.83	241.95	311.90	215.90	2.7041	undefined	undefined	supercritical
664.80	10.800	3.4817	0.28722	74.050	77.152	148.66	241.91	312.17	216.98	2.6684	undefined	undefined	supercritical
664.80	10.900	3.5141	0.28457	73.968	77.069	148.50	241.87	312.41	218.11	2.6321	undefined	undefined	supercritical
664.80	11.000	3.5462	0.28199	73.886	76.988	148.33	241.82	312.60	219.29	2.5951	undefined	undefined	supercritical
664.80	11.100	3.5780	0.27949	73.805	76.907	148.17	241.78	312.75	220.53	2.5573	undefined	undefined	supercritical
664.80	11.200	3.6094	0.27706	73.725	76.828	148.01	241.73	312.85	221.82	2.5186	undefined	undefined	supercritical
664.80	11.300	3.6405	0.27469	73.646	76.750	147.85	241.68	312.89	223.18	2.4789	undefined	undefined	supercritical
664.80	11.400	3.6711	0.27239	73.567	76.673	147.69	241.64	312.88	224.60	2.4383	undefined	undefined	supercritical
664.80	11.500	3.7014	0.27016	73.490	76.597	147.54	241.59	312.82	226.09	2.3967	undefined	undefined	supercritical
664.80	11.600	3.7313	0.26800	73.414	76.523	147.38	241.54	312.69	227.65	2.3543	undefined	undefined	supercritical
664.80	11.700	3.7608	0.26590	73.339	76.450	147.23	241.50	312.52	229.27	2.3112	undefined	undefined	supercritical
664.80	11.800	3.7898	0.26386	73.265	76.378	147.09	241.45	312.29	230.96	2.2674	undefined	undefined	supercritical
664.80	11.900	3.8184	0.26189	73.192	76.308	146.94	241.40	312.01	232.70	2.2231	undefined	undefined	supercritical
664.80	12.000	3.8466	0.25997	73.120	76.240	146.80	241.35	311.68	234.51	2.1785	undefined	undefined	supercritical
664.80	12.100	3.8742	0.25812	73.049	76.172	146.66	241.31	311.32	236.36	2.1338	undefined	undefined	supercritical
664.80	12.200	3.9014	0.25632	72.980	76.107	146.52	241.26	310.91	238.27	2.0891	undefined	undefined	supercritical
664.80	12.300	3.9282	0.25457	72.911	76.043	146.39	241.21	310.48	240.22	2.0446	undefined	undefined	supercritical
664.80	12.400	3.9544	0.25288	72.844	75.980	146.25	241.16	310.02	242.20	2.0004	undefined	undefined	supercritical
664.80	12.500	3.9802	0.25124	72.778	75.919	146.12	241.12	309.54	244.22	1.9567	undefined	undefined	supercritical
664.80	12.600	4.0056	0.24965	72.713	75.859	146.00	241.07	309.04	246.26	1.9137	undefined	undefined	supercritical
664.80	12.700	4.0305	0.24811	72.649	75.800	145.87	241.03	308.53	248.32	1.8713	undefined	undefined	supercritical
