Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
563.00	0.010000	0.0021378	467.77	52.950	57.627	165.08	142.32	150.66	251.70	6.5124	undefined	undefined	vapor
563.00	0.051650	0.011074	90.304	52.922	57.586	151.38	142.39	150.82	251.05	6.5408	undefined	undefined	vapor
563.00	0.093300	0.020062	49.846	52.894	57.545	146.42	142.45	150.99	250.40	6.5695	undefined	undefined	vapor
563.00	0.13495	0.029103	34.361	52.867	57.504	143.30	142.52	151.16	249.74	6.5986	undefined	undefined	vapor
563.00	0.17660	0.038197	26.180	52.839	57.462	141.01	142.59	151.34	249.08	6.6280	undefined	undefined	vapor
563.00	0.21825	0.047346	21.121	52.810	57.420	139.20	142.66	151.51	248.42	6.6578	undefined	undefined	vapor
563.00	0.25990	0.056551	17.683	52.782	57.378	137.70	142.74	151.70	247.76	6.6880	undefined	undefined	vapor
563.00	0.30155	0.065811	15.195	52.754	57.336	136.41	142.81	151.88	247.09	6.7185	undefined	undefined	vapor
563.00	0.34320	0.075128	13.311	52.725	57.293	135.28	142.88	152.07	246.42	6.7494	undefined	undefined	vapor
563.00	0.38485	0.084503	11.834	52.696	57.250	134.28	142.96	152.26	245.75	6.7807	undefined	undefined	vapor
563.00	0.42650	0.093937	10.645	52.667	57.207	133.37	143.03	152.45	245.07	6.8124	undefined	undefined	vapor
563.00	0.46815	0.10343	9.6684	52.637	57.164	132.55	143.11	152.65	244.39	6.8445	undefined	undefined	vapor
563.00	0.50980	0.11298	8.8509	52.608	57.120	131.78	143.19	152.85	243.70	6.8770	undefined	undefined	vapor
563.00	0.55145	0.12260	8.1567	52.578	57.076	131.08	143.27	153.05	243.02	6.9099	undefined	undefined	vapor
563.00	0.59310	0.13228	7.5600	52.548	57.032	130.42	143.34	153.26	242.33	6.9433	undefined	undefined	vapor
563.00	0.63475	0.14202	7.0414	52.518	56.987	129.80	143.43	153.47	241.63	6.9770	undefined	undefined	vapor
563.00	0.67640	0.15182	6.5867	52.487	56.943	129.22	143.51	153.69	240.93	7.0113	undefined	undefined	vapor
563.00	0.71805	0.16169	6.1846	52.457	56.898	128.66	143.59	153.91	240.23	7.0459	undefined	undefined	vapor
563.00	0.75970	0.17163	5.8265	52.426	56.852	128.14	143.67	154.13	239.53	7.0811	undefined	undefined	vapor
563.00	0.80135	0.18163	5.5056	52.395	56.807	127.64	143.76	154.36	238.82	7.1167	undefined	undefined	vapor
563.00	0.84300	0.19171	5.2163	52.364	56.761	127.16	143.85	154.60	238.11	7.1528	undefined	undefined	vapor
563.00	0.88465	0.20185	4.9541	52.332	56.715	126.70	143.93	154.83	237.39	7.1894	undefined	undefined	vapor
563.00	0.92630	0.21207	4.7155	52.300	56.668	126.26	144.02	155.08	236.67	7.2265	undefined	undefined	vapor
563.00	0.96795	0.22235	4.4973	52.268	56.621	125.84	144.11	155.32	235.94	7.2641	undefined	undefined	vapor
563.00	1.0096	0.23271	4.2971	52.236	56.574	125.43	144.20	155.58	235.21	7.3022	undefined	undefined	vapor
563.00	1.0512	0.24315	4.1127	52.203	56.527	125.04	144.30	155.83	234.48	7.3409	undefined	undefined	vapor
563.00	1.0929	0.25366	3.9422	52.170	56.479	124.65	144.39	156.10	233.74	7.3801	undefined	undefined	vapor
563.00	1.1345	0.26425	3.7842	52.137	56.431	124.28	144.48	156.37	233.00	7.4199	undefined	undefined	vapor
563.00	1.1762	0.27492	3.6374	52.104	56.382	123.92	144.58	156.64	232.26	7.4602	undefined	undefined	vapor
563.00	1.2178	0.28567	3.5005	52.070	56.333	123.57	144.68	156.92	231.51	7.5011	undefined	undefined	vapor
563.00	1.2595	0.29651	3.3726	52.036	56.284	123.23	144.78	157.21	230.75	7.5427	undefined	undefined	vapor
563.00	1.3012	0.30742	3.2529	52.002	56.235	122.90	144.88	157.50	229.99	7.5848	undefined	undefined	vapor
563.00	1.3428	0.31842	3.1405	51.968	56.185	122.57	144.98	157.80	229.23	7.6276	undefined	undefined	vapor
563.00	1.3845	0.32951	3.0348	51.933	56.134	122.25	145.08	158.10	228.46	7.6710	undefined	undefined	vapor
563.00	1.4261	0.34069	2.9352	51.898	56.084	121.94	145.19	158.41	227.69	7.7150	undefined	undefined	vapor
