Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
370.00	0.010000	0.0032532	307.39	30.644	33.718	162.35	79.726	88.069	277.39	8.8825	10.039	0.026880	vapor
370.00	0.046650	0.015221	65.699	30.624	33.689	149.49	79.770	88.221	276.73	8.9112	10.042	0.026908	vapor
370.00	0.083300	0.027260	36.684	30.604	33.660	144.62	79.814	88.375	276.07	8.9403	10.045	0.026935	vapor
370.00	0.11995	0.039371	25.399	30.585	33.631	141.53	79.859	88.531	275.41	8.9696	10.049	0.026963	vapor
370.00	0.15660	0.051555	19.397	30.565	33.602	139.26	79.905	88.690	274.75	8.9993	10.053	0.026992	vapor
370.00	0.19325	0.063814	15.671	30.544	33.573	137.46	79.951	88.852	274.08	9.0293	10.057	0.027021	vapor
370.00	0.22990	0.076148	13.132	30.524	33.543	135.96	79.997	89.017	273.41	9.0596	10.061	0.027050	vapor
370.00	0.26655	0.088559	11.292	30.504	33.514	134.67	80.044	89.184	272.73	9.0902	10.066	0.027080	vapor
370.00	0.30320	0.10105	9.8963	30.483	33.484	133.55	80.092	89.354	272.06	9.1212	10.071	0.027110	vapor
370.00	0.33985	0.11362	8.8016	30.463	33.454	132.54	80.140	89.527	271.38	9.1525	10.076	0.027141	vapor
370.00	0.37650	0.12626	7.9199	30.442	33.424	131.63	80.189	89.704	270.69	9.1841	10.081	0.027172	vapor
370.00	0.41315	0.13899	7.1945	30.421	33.393	130.81	80.238	89.883	270.00	9.2161	10.086	0.027203	vapor
370.00	0.44980	0.15181	6.5873	30.400	33.363	130.04	80.288	90.065	269.31	9.2485	10.092	0.027235	vapor
370.00	0.48645	0.16470	6.0715	30.379	33.332	129.33	80.338	90.251	268.62	9.2812	10.098	0.027267	vapor
370.00	0.52310	0.17769	5.6278	30.358	33.302	128.67	80.389	90.440	267.92	9.3143	10.105	0.027300	vapor
370.00	0.55975	0.19076	5.2422	30.336	33.271	128.05	80.441	90.633	267.22	9.3477	10.111	0.027334	vapor
370.00	0.59640	0.20392	4.9040	30.315	33.240	127.46	80.493	90.829	266.51	9.3816	10.118	0.027368	vapor
370.00	0.63305	0.21717	4.6048	30.293	33.208	126.91	80.546	91.028	265.81	9.4158	10.125	0.027402	vapor
370.00	0.66970	0.23051	4.3383	30.271	33.177	126.38	80.599	91.232	265.09	9.4504	10.133	0.027437	vapor
370.00	0.70635	0.24394	4.0993	30.249	33.145	125.88	80.654	91.439	264.38	9.4854	10.140	0.027473	vapor
370.00	0.74300	0.25747	3.8839	30.227	33.113	125.39	80.708	91.650	263.66	9.5208	10.148	0.027509	vapor
370.00	0.77965	0.27110	3.6887	30.205	33.081	124.93	80.764	91.866	262.93	9.5567	10.157	0.027546	vapor
370.00	0.81630	0.28482	3.5110	30.183	33.049	124.49	80.820	92.085	262.20	9.5929	10.165	0.027583	vapor
370.00	0.85295	0.29865	3.3484	30.160	33.016	124.06	80.877	92.309	261.47	9.6296	10.174	0.027621	vapor
370.00	0.88960	0.31257	3.1993	30.138	32.984	123.65	80.935	92.537	260.74	9.6667	10.183	0.027659	vapor
370.00	0.92625	0.32660	3.0618	30.115	32.951	123.25	80.993	92.770	259.99	9.7043	10.193	0.027698	vapor
370.00	0.96290	0.34074	2.9348	30.092	32.918	122.86	81.052	93.008	259.25	9.7423	10.203	0.027738	vapor
370.00	0.99955	0.35499	2.8170	30.069	32.884	122.49	81.112	93.251	258.50	9.7808	10.213	0.027778	vapor
370.00	1.0362	0.36934	2.7075	30.045	32.851	122.12	81.172	93.498	257.75	9.8198	10.223	0.027820	vapor
370.00	1.0728	0.38381	2.6055	30.022	32.817	121.77	81.234	93.751	256.99	9.8592	10.234	0.027861	vapor
370.00	1.1095	0.39839	2.5101	29.998	32.783	121.43	81.296	94.009	256.23	9.8991	10.245	0.027904	vapor
370.00	1.1461	0.41309	2.4208	29.974	32.749	121.09	81.359	94.273	255.46	9.9395	10.257	0.027947	vapor
370.00	1.1828	0.42791	2.3370	29.950	32.714	120.76	81.423	94.542	254.69	9.9804	10.268	0.027991	vapor
370.00	1.2195	0.44285	2.2581	29.926	32.680	120.44	81.487	94.817	253.91	10.022	10.281	0.028036	vapor
370.00	1.2561	0.45791	2.1838	29.902	32.645	120.12	81.553	95.099	253.13	10.064	10.293	0.028081	vapor
370.00	1.2928	0.47310	2.1137	29.877	32.609	119.82	81.619	95.386	252.34	10.106	10.306	0.028128	vapor
370.00	1.3294	0.48842	2.0474	29.852	32.574	119.51	81.687	95.680	251.55	10.149	10.320	0.028175	vapor
370.00	1.3661	0.50387	1.9846	29.827	32.538	119.22	81.755	95.981	250.75	10.193	10.333	0.028223	vapor
370.00	1.4027	0.51946	1.9251	29.802	32.502	118.93	81.824	96.289	249.95	10.237	10.347	0.028272	vapor
370.00	1.4394	0.53518	1.8685	29.777	32.466	118.64	81.894	96.604	249.14	10.282	10.362	0.028322	vapor
370.00	1.4760	0.55105	1.8147	29.751	32.429	118.36	81.965	96.927	248.33	10.327	10.377	0.028373	vapor
370.00	1.5127	0.56706	1.7635	29.725	32.393	118.08	82.037	97.257	247.51	10.373	10.392	0.028425	vapor
370.00	1.5493	0.58322	1.7146	29.699	32.356	117.81	82.111	97.596	246.68	10.420	10.408	0.028477	vapor
370.00	1.5860	0.59953	1.6680	29.673	32.318	117.54	82.185	97.943	245.85	10.467	10.424	0.028531	vapor
370.00	1.6226	0.61600	1.6234	29.646	32.280	117.28	82.260	98.298	245.02	10.515	10.441	0.028586	vapor
370.00	1.6593	0.63262	1.5807	29.620	32.242	117.02	82.336	98.663	244.17	10.563	10.458	0.028642	vapor
370.00	1.6959	0.64941	1.5399	29.593	32.204	116.76	82.414	99.037	243.33	10.613	10.476	0.028699	vapor
370.00	1.7326	0.66636	1.5007	29.565	32.165	116.50	82.493	99.421	242.47	10.662	10.494	0.028758	vapor
370.00	1.7692	0.68349	1.4631	29.538	32.126	116.25	82.572	99.815	241.61	10.713	10.512	0.028817	vapor
370.00	1.8059	0.70079	1.4270	29.510	32.087	116.00	82.653	100.22	240.74	10.764	10.531	0.028878	vapor
370.00	1.8425	0.71826	1.3922	29.482	32.047	115.75	82.736	100.63	239.87	10.816	10.551	0.028940	vapor
370.00	1.8792	0.73593	1.3588	29.454	32.007	115.51	82.819	101.06	238.99	10.869	10.571	0.029003	vapor
370.00	1.9158	0.75378	1.3266	29.425	31.967	115.27	82.904	101.50	238.10	10.923	10.592	0.029068	vapor
370.00	1.9525	0.77183	1.2956	29.396	31.926	115.03	82.991	101.95	237.21	10.977	10.613	0.029134	vapor
370.00	1.9891	0.79007	1.2657	29.367	31.885	114.79	83.078	102.42	236.31	11.032	10.635	0.029202	vapor
370.00	2.0258	0.80853	1.2368	29.338	31.843	114.55	83.167	102.89	235.40	11.088	10.657	0.029271	vapor
370.00	2.0624	0.82719	1.2089	29.308	31.801	114.32	83.258	103.39	234.48	11.145	10.680	0.029342	vapor
370.00	2.0991	0.84607	1.1819	29.278	31.759	114.08	83.350	103.89	233.56	11.202	10.704	0.029414	vapor
370.00	2.1357	0.86518	1.1558	29.247	31.716	113.85	83.444	104.42	232.63	11.261	10.728	0.029489	vapor
370.00	2.1724	0.88451	1.1306	29.216	31.672	113.62	83.539	104.96	231.69	11.320	10.753	0.029565	vapor
370.00	2.2090	0.90409	1.1061	29.185	31.629	113.39	83.636	105.51	230.74	11.380	10.779	0.029643	vapor
370.00	2.2457	0.92391	1.0824	29.154	31.584	113.17	83.734	106.09	229.78	11.442	10.805	0.029723	vapor
370.00	2.2823	0.94398	1.0593	29.122	31.540	112.94	83.835	106.68	228.82	11.504	10.832	0.029804	vapor
370.00	2.3190	0.96431	1.0370	29.090	31.494	112.71	83.937	107.29	227.84	11.567	10.860	0.029888	vapor
370.00	2.3556	0.98491	1.0153	29.057	31.449	112.49	84.041	107.93	226.86	11.631	10.889	0.029975	vapor
370.00	2.3923	1.0058	0.99424	29.024	31.402	112.26	84.147	108.59	225.87	11.697	10.918	0.030063	vapor
370.00	2.4289	1.0270	0.97375	28.990	31.356	112.04	84.255	109.27	224.87	11.763	10.948	0.030154	vapor
370.00	2.4656	1.0484	0.95381	28.956	31.308	111.81	84.365	109.97	223.86	11.831	10.979	0.030248	vapor
370.00	2.5022	1.0702	0.93440	28.922	31.260	111.59	84.478	110.70	222.84	11.899	11.011	0.030344	vapor
370.00	2.5389	1.0923	0.91550	28.887	31.212	111.37	84.592	111.46	221.81	11.969	11.044	0.030443	vapor
370.00	2.5755	1.1147	0.89708	28.852	31.162	111.15	84.709	112.25	220.77	12.040	11.078	0.030544	vapor
370.00	2.6122	1.1375	0.87912	28.816	31.113	110.92	84.829	113.07	219.72	12.112	11.113	0.030649	vapor
370.00	2.6488	1.1606	0.86160	28.780	31.062	110.70	84.951	113.92	218.65	12.185	11.149	0.030757	vapor
370.00	2.6855	1.1841	0.84450	28.743	31.011	110.48	85.076	114.81	217.58	12.260	11.186	0.030869	vapor
370.00	2.7221	1.2080	0.82780	28.705	30.959	110.25	85.203	115.73	216.49	12.336	11.224	0.030984	vapor
370.00	2.7588	1.2323	0.81149	28.667	30.906	110.03	85.333	116.70	215.40	12.413	11.263	0.031103	vapor
370.00	2.7954	1.2570	0.79553	28.629	30.853	109.81	85.467	117.70	214.29	12.492	11.303	0.031225	vapor
370.00	2.8321	1.2822	0.77993	28.590	30.798	109.58	85.604	118.76	213.17	12.572	11.345	0.031352	vapor
370.00	2.8687	1.3078	0.76466	28.550	30.743	109.36	85.744	119.86	212.03	12.654	11.388	0.031484	vapor
370.00	2.9054	1.3339	0.74970	28.509	30.687	109.13	85.887	121.01	210.88	12.737	11.432	0.031620	vapor
370.00	2.9420	1.3604	0.73505	28.468	30.630	108.90	86.035	122.23	209.72	12.821	11.478	0.031761	vapor
370.00	2.9787	1.3876	0.72069	28.426	30.572	108.67	86.186	123.50	208.54	12.908	11.525	0.031907	vapor
370.00	3.0153	1.4152	0.70660	28.383	30.513	108.44	86.341	124.84	207.35	12.995	11.574	0.032060	vapor
370.00	3.0520	1.4435	0.69277	28.339	30.453	108.21	86.501	126.25	206.14	13.085	11.624	0.032218	vapor
370.00	3.0886	1.4723	0.67919	28.294	30.392	107.98	86.666	127.74	204.92	13.176	11.677	0.032383	vapor
370.00	3.1253	1.5018	0.66585	28.249	30.330	107.74	86.836	129.31	203.68	13.269	11.731	0.032554	vapor
370.00	3.1619	1.5320	0.65273	28.203	30.266	107.51	87.011	130.98	202.42	13.364	11.787	0.032734	vapor
370.00	3.1986	1.5629	0.63983	28.155	30.202	107.27	87.191	132.75	201.14	13.461	11.845	0.032921	vapor
