Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
507.60	0.010000	0.0023721	421.57	56.693	60.909	179.21	211.59	219.95	225.38	7.6663	11.161	0.036057	vapor
507.60	0.043317	0.010314	96.959	56.653	60.853	166.95	211.70	220.22	224.62	7.7123	11.182	0.036102	vapor
507.60	0.076633	0.018315	54.599	56.612	60.796	162.12	211.81	220.50	223.85	7.7589	11.201	0.036147	vapor
507.60	0.10995	0.026379	37.909	56.570	60.739	159.04	211.93	220.79	223.07	7.8062	11.220	0.036193	vapor
507.60	0.14327	0.034505	28.981	56.529	60.681	156.76	212.04	221.08	222.29	7.8543	11.239	0.036238	vapor
507.60	0.17658	0.042695	23.422	56.487	60.623	154.93	212.16	221.38	221.50	7.9030	11.258	0.036285	vapor
507.60	0.20990	0.050951	19.627	56.445	60.564	153.41	212.27	221.68	220.70	7.9526	11.277	0.036331	vapor
507.60	0.24322	0.059273	16.871	56.402	60.505	152.10	212.39	221.99	219.90	8.0028	11.297	0.036378	vapor
507.60	0.27653	0.067665	14.779	56.359	60.446	150.95	212.51	222.30	219.09	8.0539	11.317	0.036426	vapor
507.60	0.30985	0.076126	13.136	56.316	60.386	149.92	212.63	222.62	218.27	8.1058	11.337	0.036474	vapor
507.60	0.34317	0.084658	11.812	56.272	60.326	148.98	212.75	222.95	217.45	8.1585	11.358	0.036522	vapor
507.60	0.37648	0.093264	10.722	56.228	60.265	148.12	212.87	223.28	216.61	8.2121	11.379	0.036571	vapor
507.60	0.40980	0.10194	9.8093	56.184	60.203	147.33	212.99	223.63	215.78	8.2666	11.401	0.036620	vapor
507.60	0.44312	0.11070	9.0334	56.139	60.142	146.59	213.12	223.98	214.93	8.3219	11.423	0.036670	vapor
507.60	0.47643	0.11954	8.3657	56.094	60.079	145.90	213.24	224.33	214.07	8.3782	11.445	0.036720	vapor
507.60	0.50975	0.12845	7.7850	56.048	60.016	145.24	213.37	224.70	213.21	8.4355	11.468	0.036770	vapor
507.60	0.54307	0.13745	7.2754	56.002	59.953	144.62	213.49	225.07	212.34	8.4937	11.491	0.036821	vapor
507.60	0.57638	0.14653	6.8245	55.956	59.889	144.04	213.62	225.45	211.46	8.5530	11.514	0.036873	vapor
507.60	0.60970	0.15570	6.4226	55.909	59.824	143.47	213.75	225.85	210.58	8.6133	11.538	0.036925	vapor
507.60	0.64302	0.16496	6.0622	55.861	59.759	142.94	213.88	226.25	209.68	8.6747	11.563	0.036978	vapor
507.60	0.67633	0.17430	5.7371	55.814	59.694	142.42	214.01	226.66	208.78	8.7372	11.587	0.037031	vapor
507.60	0.70965	0.18374	5.4424	55.765	59.627	141.92	214.15	227.08	207.87	8.8008	11.613	0.037085	vapor
507.60	0.74297	0.19328	5.1738	55.717	59.561	141.44	214.28	227.51	206.95	8.8657	11.638	0.037139	vapor
507.60	0.77628	0.20291	4.9282	55.667	59.493	140.98	214.42	227.95	206.02	8.9317	11.665	0.037194	vapor
507.60	0.80960	0.21265	4.7026	55.618	59.425	140.53	214.55	228.40	205.08	8.9990	11.691	0.037250	vapor
507.60	0.84292	0.22249	4.4946	55.567	59.356	140.09	214.69	228.87	204.13	9.0676	11.719	0.037306	vapor
507.60	0.87623	0.23243	4.3023	55.517	59.287	139.67	214.83	229.35	203.17	9.1376	11.747	0.037363	vapor
507.60	0.90955	0.24249	4.1239	55.466	59.216	139.25	214.97	229.84	202.20	9.2090	11.775	0.037421	vapor
507.60	0.94287	0.25265	3.9580	55.414	59.146	138.85	215.11	230.34	201.22	9.2817	11.804	0.037479	vapor
507.60	0.97618	0.26294	3.8032	55.361	59.074	138.45	215.26	230.86	200.23	9.3560	11.833	0.037539	vapor
507.60	1.0095	0.27334	3.6584	55.308	59.002	138.06	215.40	231.39	199.23	9.4318	11.863	0.037598	vapor
