Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
210.00	0.010000	0.0057303	174.51	9.8283	11.573	114.30	25.300	33.632	380.17	8.5008	8.1566	0.023014	vapor
210.00	0.048317	0.027745	36.043	9.8210	11.562	101.17	25.319	33.722	379.73	8.5067	8.1636	0.023061	vapor
210.00	0.086633	0.049852	20.059	9.8136	11.551	96.282	25.338	33.813	379.30	8.5125	8.1705	0.023103	vapor
210.00	0.12495	0.072053	13.879	9.8062	11.540	93.202	25.358	33.904	378.86	8.5184	8.1775	0.023143	vapor
210.00	0.16327	0.094348	10.599	9.7988	11.529	90.942	25.378	33.997	378.42	8.5242	8.1846	0.023184	vapor
210.00	0.20158	0.11674	8.5662	9.7914	11.518	89.154	25.398	34.091	377.99	8.5299	8.1917	0.023224	vapor
210.00	0.23990	0.13923	7.1826	9.7839	11.507	87.671	25.418	34.186	377.55	8.5356	8.1990	0.023263	vapor
210.00	0.27822	0.16181	6.1801	9.7764	11.496	86.403	25.438	34.282	377.11	8.5413	8.2064	0.023303	vapor
210.00	0.31653	0.18449	5.4203	9.7688	11.485	85.294	25.459	34.379	376.67	8.5470	8.2139	0.023343	vapor
210.00	0.35485	0.20727	4.8245	9.7613	11.473	84.308	25.479	34.478	376.23	8.5526	8.2215	0.023384	vapor
210.00	0.39317	0.23016	4.3449	9.7537	11.462	83.419	25.500	34.577	375.79	8.5581	8.2292	0.023424	vapor
210.00	0.43148	0.25314	3.9504	9.7461	11.451	82.609	25.521	34.678	375.35	8.5636	8.2370	0.023465	vapor
210.00	0.46980	0.27623	3.6202	9.7384	11.439	81.865	25.542	34.780	374.91	8.5691	8.2449	0.023505	vapor
210.00	0.50812	0.29941	3.3398	9.7307	11.428	81.177	25.563	34.883	374.47	8.5746	8.2530	0.023547	vapor
210.00	0.54643	0.32271	3.0988	9.7230	11.416	80.535	25.585	34.987	374.03	8.5800	8.2611	0.023588	vapor
210.00	0.58475	0.34611	2.8893	9.7153	11.405	79.934	25.606	35.093	373.58	8.5853	8.2693	0.023630	vapor
210.00	0.62307	0.36962	2.7055	9.7075	11.393	79.369	25.628	35.200	373.14	8.5906	8.2777	0.023672	vapor
210.00	0.66138	0.39323	2.5430	9.6997	11.382	78.835	25.650	35.308	372.69	8.5959	8.2861	0.023714	vapor
210.00	0.69970	0.41696	2.3983	9.6918	11.370	78.329	25.672	35.418	372.25	8.6011	8.2947	0.023756	vapor
210.00	0.73802	0.44079	2.2686	9.6839	11.358	77.848	25.694	35.529	371.80	8.6063	8.3034	0.023799	vapor
210.00	0.77633	0.46474	2.1517	9.6760	11.346	77.389	25.717	35.641	371.35	8.6114	8.3122	0.023843	vapor
210.00	0.81465	0.48880	2.0458	9.6681	11.335	76.950	25.739	35.755	370.91	8.6165	8.3210	0.023886	vapor
210.00	0.85297	0.51297	1.9494	9.6601	11.323	76.530	25.762	35.870	370.46	8.6215	8.3300	0.023931	vapor
210.00	0.89128	0.53726	1.8613	9.6521	11.311	76.126	25.785	35.987	370.01	8.6264	8.3391	0.023975	vapor
210.00	0.92960	0.56167	1.7804	9.6440	11.299	75.737	25.808	36.105	369.56	8.6314	8.3483	0.024020	vapor
210.00	0.96792	0.58620	1.7059	9.6359	11.287	75.362	25.831	36.224	369.11	8.6362	8.3577	0.024065	vapor
210.00	1.0062	0.61084	1.6371	9.6278	11.275	75.000	25.854	36.345	368.66	8.6410	8.3671	0.024111	vapor
210.00	1.0446	0.63561	1.5733	9.6197	11.263	74.649	25.878	36.468	368.20	8.6458	8.3766	0.024157	vapor
210.00	1.0829	0.66049	1.5140	9.6115	11.251	74.310	25.901	36.592	367.75	8.6505	8.3863	0.024203	vapor
210.00	1.1212	0.68551	1.4588	9.6032	11.239	73.981	25.925	36.718	367.30	8.6551	8.3960	0.024250	vapor
210.00	1.1595	0.71064	1.4072	9.5950	11.227	73.662	25.949	36.845	366.84	8.6597	8.4059	0.024298	vapor
210.00	1.1978	0.73591	1.3589	9.5867	11.214	73.351	25.973	36.975	366.39	8.6643	8.4159	0.024345	vapor
210.00	1.2361	0.76130	1.3135	9.5783	11.202	73.049	25.998	37.105	365.93	8.6687	8.4260	0.024394	vapor
210.00	1.2745	0.78682	1.2709	9.5700	11.190	72.754	26.022	37.238	365.48	8.6731	8.4362	0.024442	vapor
210.00	1.3128	0.81247	1.2308	9.5615	11.177	72.467	26.047	37.372	365.02	8.6775	8.4465	0.024492	vapor
210.00	1.3511	0.83826	1.1929	9.5531	11.165	72.186	26.072	37.508	364.56	8.6817	8.4570	0.024541	vapor
210.00	1.3894	0.86418	1.1572	9.5446	11.152	71.913	26.097	37.646	364.10	8.6859	8.4676	0.024592	vapor
210.00	1.4277	0.89024	1.1233	9.5360	11.140	71.645	26.122	37.786	363.64	8.6901	8.4783	0.024643	vapor
210.00	1.4660	0.91643	1.0912	9.5275	11.127	71.383	26.148	37.928	363.19	8.6941	8.4891	0.024694	vapor
210.00	1.5043	0.94277	1.0607	9.5188	11.115	71.126	26.173	38.071	362.72	8.6981	8.5000	0.024746	vapor
210.00	1.5427	0.96924	1.0317	9.5102	11.102	70.875	26.199	38.217	362.26	8.7021	8.5111	0.024798	vapor
210.00	1.5810	0.99586	1.0042	9.5015	11.089	70.628	26.225	38.365	361.80	8.7059	8.5222	0.024851	vapor
210.00	1.6193	1.0226	0.97787	9.4927	11.076	70.386	26.251	38.514	361.34	8.7097	8.5336	0.024904	vapor
210.00	1.6576	1.0495	0.95280	9.4840	11.063	70.149	26.278	38.666	360.88	8.7134	8.5450	0.024959	vapor
210.00	1.6959	1.0766	0.92885	9.4751	11.050	69.916	26.304	38.820	360.41	8.7170	8.5566	0.025013	vapor
210.00	1.7342	1.1038	0.90595	9.4663	11.037	69.686	26.331	38.976	359.95	8.7206	8.5683	0.025068	vapor
210.00	1.7726	1.1312	0.88403	9.4573	11.024	69.461	26.358	39.134	359.48	8.7240	8.5801	0.025124	vapor
210.00	1.8109	1.1587	0.86304	9.4484	11.011	69.239	26.385	39.295	359.01	8.7274	8.5921	0.025181	vapor
210.00	1.8492	1.1864	0.84291	9.4394	10.998	69.021	26.412	39.458	358.55	8.7307	8.6042	0.025238	vapor
210.00	1.8875	1.2142	0.82358	9.4303	10.985	68.806	26.440	39.623	358.08	8.7339	8.6164	0.025296	vapor
210.00	1.9258	1.2422	0.80502	9.4212	10.972	68.594	26.467	39.791	357.61	8.7370	8.6288	0.025354	vapor
210.00	1.9641	1.2704	0.78718	9.4121	10.958	68.385	26.495	39.961	357.14	8.7400	8.6413	0.025413	vapor
210.00	2.0025	1.2987	0.77001	9.4029	10.945	68.179	26.523	40.133	356.67	8.7429	8.6540	0.025473	vapor
210.00	2.0408	1.3272	0.75348	9.3936	10.931	67.976	26.551	40.308	356.20	8.7457	8.6668	0.025534	vapor
210.00	2.0791	1.3558	0.73755	9.3843	10.918	67.775	26.580	40.486	355.73	8.7485	8.6797	0.025595	vapor
210.00	2.1174	1.3847	0.72219	9.3750	10.904	67.578	26.609	40.667	355.26	8.7511	8.6928	0.025657	vapor
210.00	2.1557	1.4137	0.70737	9.3656	10.890	67.382	26.637	40.850	354.79	8.7536	8.7061	0.025719	vapor
210.00	2.1940	1.4429	0.69306	9.3561	10.877	67.189	26.666	41.036	354.32	8.7560	8.7195	0.025783	vapor
210.00	2.2324	1.4722	0.67924	9.3466	10.863	66.998	26.696	41.225	353.84	8.7583	8.7331	0.025847	vapor
210.00	2.2707	1.5018	0.66587	9.3371	10.849	66.809	26.725	41.416	353.37	8.7605	8.7468	0.025912	vapor
210.00	2.3090	1.5315	0.65294	9.3275	10.835	66.623	26.755	41.611	352.89	8.7626	8.7607	0.025978	vapor
210.00	2.3473	1.5614	0.64043	9.3178	10.821	66.438	26.785	41.809	352.42	8.7646	8.7747	0.026045	vapor
210.00	2.3856	1.5916	0.62831	9.3081	10.807	66.255	26.815	42.010	351.94	8.7664	8.7889	0.026112	vapor
210.00	2.4239	1.6219	0.61657	9.2984	10.793	66.074	26.845	42.214	351.46	8.7681	8.8033	0.026180	vapor
210.00	2.4623	1.6524	0.60519	9.2886	10.779	65.895	26.876	42.422	350.99	8.7697	8.8179	0.026250	vapor
210.00	2.5006	1.6831	0.59415	9.2787	10.764	65.718	26.906	42.632	350.51	8.7712	8.8326	0.026320	vapor
210.00	2.5389	1.7140	0.58344	9.2688	10.750	65.542	26.937	42.846	350.03	8.7725	8.8475	0.026391	vapor
210.00	2.5772	1.7451	0.57304	9.2588	10.736	65.367	26.969	43.064	349.55	8.7737	8.8626	0.026463	vapor
210.00	2.6155	1.7764	0.56293	9.2487	10.721	65.195	27.000	43.285	349.07	8.7748	8.8779	0.026536	vapor
210.00	2.6538	1.8079	0.55312	9.2386	10.706	65.023	27.032	43.510	348.59	8.7757	8.8933	0.026610	vapor
210.00	2.6922	1.8397	0.54357	9.2284	10.692	64.853	27.063	43.739	348.11	8.7765	8.9089	0.026685	vapor
210.00	2.7305	1.8716	0.53429	9.2182	10.677	64.685	27.096	43.972	347.63	8.7771	8.9248	0.026761	vapor
210.00	2.7688	1.9038	0.52526	9.2079	10.662	64.518	27.128	44.208	347.15	8.7776	8.9408	0.026838	vapor
210.00	2.8071	1.9362	0.51647	9.1976	10.647	64.352	27.160	44.449	346.67	8.7779	8.9570	0.026916	vapor
210.00	2.8454	1.9689	0.50790	9.1871	10.632	64.187	27.193	44.693	346.19	8.7781	8.9734	0.026995	vapor
210.00	2.8837	2.0017	0.49956	9.1767	10.617	64.023	27.226	44.942	345.70	8.7781	8.9900	0.027075	vapor
210.00	2.9221	2.0349	0.49144	9.1661	10.602	63.861	27.260	45.196	345.22	8.7779	9.0069	0.027157	vapor
210.00	2.9604	2.0682	0.48351	9.1555	10.587	63.699	27.293	45.453	344.74	8.7776	9.0239	0.027239	vapor
210.00	2.9987	2.1018	0.47578	9.1448	10.572	63.538	27.327	45.716	344.25	8.7770	9.0412	0.027323	vapor
210.00	3.0370	2.1356	0.46824	9.1341	10.556	63.379	27.361	45.983	343.77	8.7763	9.0587	0.027408	vapor
210.00	3.0753	2.1697	0.46089	9.1232	10.541	63.220	27.395	46.255	343.28	8.7754	9.0764	0.027495	vapor
