Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
210.00	3.1136	2.2041	0.45370	9.1123	10.525	63.063	27.430	46.531	342.80	8.7744	9.0943	0.027582	vapor
210.00	3.1520	2.2387	0.44669	9.1014	10.509	62.906	27.465	46.813	342.31	8.7731	9.1125	0.027671	vapor
210.00	3.1903	2.2736	0.43984	9.0903	10.494	62.750	27.500	47.100	341.83	8.7716	9.1309	0.027761	vapor
210.00	3.2286	2.3087	0.43314	9.0792	10.478	62.594	27.535	47.393	341.34	8.7699	9.1495	0.027853	vapor
210.00	3.2669	2.3441	0.42660	9.0680	10.462	62.440	27.570	47.691	340.86	8.7680	9.1684	0.027946	vapor
210.00	3.3052	2.3798	0.42020	9.0568	10.446	62.286	27.606	47.994	340.37	8.7659	9.1876	0.028041	vapor
210.00	3.3435	2.4158	0.41394	9.0454	10.429	62.133	27.642	48.304	339.88	8.7636	9.2070	0.028137	vapor
210.00	3.3819	2.4521	0.40782	9.0340	10.413	61.981	27.679	48.619	339.40	8.7610	9.2267	0.028234	vapor
210.00	3.4202	2.4887	0.40182	9.0225	10.397	61.829	27.716	48.940	338.91	8.7582	9.2466	0.028333	vapor
210.00	3.4585	2.5255	0.39596	9.0109	10.380	61.678	27.753	49.268	338.42	8.7552	9.2668	0.028434	vapor
210.00	3.4968	2.5627	0.39021	8.9993	10.364	61.527	27.790	49.602	337.94	8.7519	9.2873	0.028536	vapor
210.00	3.5351	2.6002	0.38459	8.9875	10.347	61.377	27.827	49.943	337.45	8.7483	9.3081	0.028640	vapor
210.00	3.5734	2.6380	0.37908	8.9757	10.330	61.227	27.865	50.291	336.96	8.7445	9.3291	0.028746	vapor
210.00	3.6118	2.6761	0.37368	8.9637	10.313	61.078	27.903	50.646	336.48	8.7405	9.3505	0.028853	vapor
210.00	3.6501	2.7146	0.36838	8.9517	10.296	60.929	27.942	51.008	335.99	8.7361	9.3722	0.028963	vapor
210.00	3.6884	2.7534	0.36319	8.9396	10.279	60.781	27.981	51.378	335.50	8.7315	9.3942	0.029074	vapor
210.00	3.7267	2.7925	0.35810	8.9274	10.262	60.633	28.020	51.755	335.02	8.7266	9.4164	0.029187	vapor
210.00	3.7650	2.8320	0.35311	8.9151	10.245	60.485	28.059	52.140	334.53	8.7214	9.4391	0.029302	vapor
210.00	3.8033	2.8718	0.34821	8.9028	10.227	60.338	28.099	52.533	334.05	8.7158	9.4620	0.029419	vapor
210.00	3.8417	2.9120	0.34340	8.8903	10.210	60.191	28.139	52.935	333.56	8.7100	9.4853	0.029538	vapor
210.00	3.8800	2.9526	0.33869	8.8777	10.192	60.045	28.179	53.345	333.08	8.7038	9.5090	0.029659	vapor
210.00	3.9183	2.9935	0.33405	8.8650	10.174	59.898	28.220	53.764	332.59	8.6974	9.5330	0.029783	vapor
210.00	3.9566	3.0349	0.32950	8.8522	10.156	59.752	28.261	54.193	332.11	8.6905	9.5573	0.029908	vapor
210.00	3.9949	3.0766	0.32504	8.8393	10.138	59.606	28.302	54.630	331.63	8.6834	9.5821	0.030036	vapor
210.00	4.0332	3.1187	0.32065	8.8264	10.120	59.460	28.344	55.078	331.14	8.6758	9.6072	0.030167	vapor
210.00	4.0716	3.1612	0.31633	8.8133	10.101	59.315	28.386	55.536	330.66	8.6679	9.6327	0.030299	vapor
210.00	4.1099	3.2042	0.31209	8.8000	10.083	59.169	28.428	56.004	330.18	8.6596	9.6586	0.030434	vapor
210.00	4.1482	3.2476	0.30792	8.7867	10.064	59.024	28.471	56.483	329.70	8.6510	9.6849	0.030572	vapor
210.00	4.1865	3.2914	0.30383	8.7733	10.045	58.879	28.514	56.973	329.22	8.6419	9.7117	0.030713	vapor
210.00	4.2248	3.3356	0.29980	8.7597	10.026	58.733	28.558	57.474	328.75	8.6324	9.7389	0.030856	vapor
210.00	4.2631	3.3803	0.29583	8.7461	10.007	58.588	28.602	57.987	328.27	8.6225	9.7665	0.031002	vapor
210.00	4.3015	3.4255	0.29193	8.7323	9.9880	58.443	28.646	58.512	327.79	8.6122	9.7946	0.031150	vapor
210.00	4.3398	3.4711	0.28809	8.7184	9.9686	58.298	28.690	59.050	327.32	8.6014	9.8231	0.031302	vapor
210.00	4.3781	3.5173	0.28431	8.7043	9.9491	58.152	28.736	59.601	326.85	8.5901	9.8522	0.031457	vapor
210.00	4.4164	3.5639	0.28059	8.6902	9.9294	58.007	28.781	60.165	326.38	8.5784	9.8817	0.031615	vapor
210.00	4.4547	3.6110	0.27693	8.6759	9.9095	57.862	28.827	60.743	325.91	8.5662	9.9117	0.031776	vapor
210.00	4.4930	3.6586	0.27333	8.6614	9.8895	57.716	28.873	61.335	325.44	8.5535	9.9423	0.031940	vapor
210.00	4.5314	3.7068	0.26977	8.6469	9.8693	57.570	28.920	61.943	324.97	8.5403	9.9733	0.032108	vapor
210.00	4.5697	3.7555	0.26627	8.6322	9.8490	57.425	28.967	62.565	324.51	8.5266	10.005	0.032279	vapor
210.00	4.6080	3.8048	0.26283	8.6173	9.8284	57.279	29.014	63.204	324.05	8.5123	10.037	0.032454	vapor
210.00	4.6080	3.8048	0.26283	8.6173	9.8284	57.279	29.014	63.204	324.05	8.5123	10.037	0.032454	supercritical
210.00	4.6080	3.8048	0.26283	8.6173	9.8284	57.279	29.014	63.204	324.05	8.5123	10.037	0.032454	supercritical
210.00	4.6463	3.8546	0.25943	8.6024	9.8077	57.132	29.062	63.858	323.59	8.4974	10.070	0.032633	supercritical
210.00	4.6846	3.9050	0.25608	8.5872	9.7869	56.986	29.110	64.530	323.13	8.4820	10.103	0.032815	supercritical
210.00	4.7229	3.9560	0.25278	8.5719	9.7658	56.839	29.159	65.219	322.68	8.4660	10.137	0.033001	supercritical
210.00	4.7613	4.0077	0.24952	8.5565	9.7445	56.692	29.208	65.927	322.23	8.4494	10.172	0.033192	supercritical
210.00	4.7996	4.0599	0.24631	8.5409	9.7231	56.545	29.258	66.653	321.78	8.4322	10.207	0.033386	supercritical
210.00	4.8379	4.1128	0.24315	8.5252	9.7015	56.397	29.308	67.398	321.33	8.4143	10.243	0.033585	supercritical
210.00	4.8762	4.1663	0.24002	8.5092	9.6796	56.249	29.358	68.164	320.89	8.3958	10.280	0.033788	supercritical
210.00	4.9145	4.2205	0.23694	8.4932	9.6576	56.101	29.409	68.950	320.45	8.3766	10.317	0.033996	supercritical
210.00	4.9528	4.2754	0.23390	8.4769	9.6354	55.952	29.461	69.758	320.01	8.3567	10.355	0.034209	supercritical
210.00	4.9912	4.3309	0.23090	8.4605	9.6129	55.803	29.513	70.588	319.58	8.3361	10.394	0.034426	supercritical
210.00	5.0295	4.3872	0.22793	8.4439	9.5903	55.653	29.565	71.441	319.16	8.3148	10.434	0.034648	supercritical
210.00	5.0678	4.4443	0.22501	8.4271	9.5674	55.503	29.618	72.318	318.73	8.2927	10.474	0.034876	supercritical
210.00	5.1061	4.5020	0.22212	8.4101	9.5443	55.352	29.671	73.219	318.31	8.2698	10.516	0.035108	supercritical
210.00	5.1444	4.5606	0.21927	8.3930	9.5210	55.201	29.725	74.146	317.90	8.2461	10.558	0.035346	supercritical
210.00	5.1827	4.6199	0.21645	8.3757	9.4975	55.049	29.779	75.099	317.49	8.2216	10.601	0.035590	supercritical
210.00	5.2211	4.6801	0.21367	8.3581	9.4737	54.896	29.834	76.080	317.09	8.1963	10.645	0.035839	supercritical
210.00	5.2594	4.7411	0.21092	8.3404	9.4497	54.743	29.889	77.088	316.69	8.1701	10.690	0.036094	supercritical
210.00	5.2977	4.8030	0.20821	8.3224	9.4254	54.589	29.944	78.126	316.30	8.1430	10.735	0.036356	supercritical
210.00	5.3360	4.8657	0.20552	8.3043	9.4009	54.435	30.000	79.194	315.92	8.1150	10.782	0.036623	supercritical
210.00	5.3743	4.9293	0.20287	8.2859	9.3762	54.280	30.057	80.292	315.54	8.0861	10.830	0.036897	supercritical
210.00	5.4126	4.9939	0.20025	8.2673	9.3512	54.124	30.113	81.423	315.17	8.0562	10.879	0.037177	supercritical
210.00	5.4510	5.0593	0.19765	8.2485	9.3259	53.968	30.171	82.586	314.81	8.0253	10.929	0.037465	supercritical
210.00	5.4893	5.1258	0.19509	8.2295	9.3004	53.810	30.228	83.783	314.45	7.9935	10.981	0.037759	supercritical
210.00	5.5276	5.1932	0.19256	8.2102	9.2746	53.652	30.287	85.016	314.11	7.9605	11.033	0.038060	supercritical
210.00	5.5659	5.2617	0.19005	8.1907	9.2485	53.493	30.345	86.284	313.77	7.9266	11.087	0.038368	supercritical
210.00	5.6042	5.3312	0.18757	8.1710	9.2222	53.333	30.404	87.589	313.45	7.8915	11.142	0.038684	supercritical
210.00	5.6425	5.4018	0.18512	8.1510	9.1955	53.172	30.463	88.932	313.13	7.8553	11.198	0.039007	supercritical
210.00	5.6809	5.4734	0.18270	8.1307	9.1686	53.010	30.523	90.313	312.82	7.8180	11.256	0.039338	supercritical
210.00	5.7192	5.5462	0.18030	8.1103	9.1414	52.848	30.583	91.734	312.53	7.7795	11.315	0.039677	supercritical
210.00	5.7575	5.6201	0.17793	8.0895	9.1139	52.684	30.643	93.196	312.25	7.7399	11.375	0.040024	supercritical
210.00	5.7958	5.6952	0.17559	8.0685	9.0862	52.520	30.703	94.699	311.98	7.6990	11.437	0.040380	supercritical
210.00	5.8341	5.7715	0.17326	8.0472	9.0581	52.354	30.764	96.243	311.72	7.6568	11.501	0.040743	supercritical
210.00	5.8724	5.8490	0.17097	8.0257	9.0297	52.188	30.824	97.830	311.48	7.6134	11.566	0.041115	supercritical
210.00	5.9108	5.9278	0.16870	8.0039	9.0010	52.020	30.885	99.460	311.26	7.5688	11.633	0.041495	supercritical
210.00	5.9491	6.0078	0.16645	7.9818	8.9720	51.851	30.946	101.13	311.05	7.5228	11.702	0.041884	supercritical
210.00	5.9874	6.0892	0.16423	7.9594	8.9427	51.682	31.007	102.85	310.86	7.4754	11.772	0.042282	supercritical
210.00	6.0257	6.1718	0.16203	7.9367	8.9131	51.511	31.067	104.61	310.69	7.4267	11.845	0.042688	supercritical
210.00	6.0640	6.2558	0.15985	7.9138	8.8832	51.339	31.128	106.41	310.53	7.3767	11.919	0.043103	supercritical
210.00	6.1023	6.3411	0.15770	7.8906	8.8529	51.166	31.189	108.26	310.40	7.3252	11.995	0.043526	supercritical
210.00	6.1407	6.4279	0.15557	7.8671	8.8224	50.992	31.249	110.14	310.29	7.2724	12.073	0.043958	supercritical
210.00	6.1790	6.5160	0.15347	7.8433	8.7915	50.817	31.308	112.07	310.20	7.2181	12.154	0.044399	supercritical
210.00	6.2173	6.6056	0.15139	7.8192	8.7604	50.641	31.368	114.03	310.14	7.1624	12.236	0.044847	supercritical
210.00	6.2556	6.6966	0.14933	7.7948	8.7290	50.464	31.426	116.03	310.10	7.1052	12.321	0.045304	supercritical
210.00	6.2939	6.7890	0.14730	7.7701	8.6972	50.285	31.484	118.07	310.10	7.0466	12.408	0.045768	supercritical
210.00	6.3322	6.8829	0.14529	7.7452	8.6652	50.106	31.542	120.13	310.12	6.9865	12.497	0.046240	supercritical
210.00	6.3706	6.9782	0.14330	7.7200	8.6329	49.926	31.598	122.23	310.17	6.9250	12.589	0.046720	supercritical
210.00	6.4089	7.0749	0.14134	7.6945	8.6003	49.745	31.653	124.34	310.26	6.8620	12.683	0.047205	supercritical
210.00	6.4472	7.1731	0.13941	7.6687	8.5675	49.563	31.707	126.48	310.38	6.7977	12.780	0.047697	supercritical
210.00	6.4855	7.2727	0.13750	7.6427	8.5345	49.381	31.760	128.62	310.54	6.7318	12.879	0.048195	supercritical
210.00	6.5238	7.3737	0.13562	7.6164	8.5012	49.197	31.811	130.78	310.73	6.6646	12.981	0.048698	supercritical
210.00	6.5621	7.4761	0.13376	7.5899	8.4677	49.013	31.861	132.93	310.97	6.5960	13.086	0.049204	supercritical
210.00	6.6005	7.5798	0.13193	7.5632	8.4340	48.828	31.908	135.08	311.26	6.5261	13.193	0.049715	supercritical
210.00	6.6388	7.6848	0.13013	7.5362	8.4001	48.643	31.954	137.21	311.59	6.4549	13.303	0.050228	supercritical
210.00	6.6771	7.7910	0.12835	7.5091	8.3661	48.458	31.998	139.31	311.96	6.3823	13.415	0.050742	supercritical
210.00	6.7154	7.8984	0.12661	7.4818	8.3320	48.272	32.040	141.38	312.39	6.3086	13.530	0.051258	supercritical
210.00	6.7537	8.0070	0.12489	7.4543	8.2978	48.086	32.079	143.40	312.87	6.2337	13.648	0.051773	supercritical
210.00	6.7920	8.1166	0.12320	7.4267	8.2635	47.900	32.115	145.37	313.41	6.1577	13.769	0.052286	supercritical
210.00	6.8304	8.2271	0.12155	7.3990	8.2292	47.715	32.149	147.27	314.00	6.0806	13.892	0.052798	supercritical
210.00	6.8687	8.3385	0.11993	7.3712	8.1949	47.529	32.181	149.09	314.65	6.0026	14.018	0.053305	supercritical
210.00	6.9070	8.4506	0.11834	7.3433	8.1606	47.344	32.209	150.82	315.37	5.9237	14.146	0.053809	supercritical
210.00	6.9453	8.5633	0.11678	7.3154	8.1264	47.160	32.234	152.44	316.14	5.8440	14.277	0.054306	supercritical
210.00	6.9836	8.6766	0.11525	7.2875	8.0924	46.977	32.256	153.96	316.98	5.7636	14.410	0.054796	supercritical
210.00	7.0219	8.7902	0.11376	7.2596	8.0585	46.794	32.275	155.35	317.89	5.6826	14.545	0.055279	supercritical
210.00	7.0603	8.9040	0.11231	7.2318	8.0247	46.613	32.291	156.61	318.86	5.6012	14.682	0.055753	supercritical
210.00	7.0986	9.0180	0.11089	7.2041	7.9912	46.433	32.303	157.73	319.90	5.5194	14.822	0.056217	supercritical
210.00	7.1369	9.1319	0.10951	7.1765	7.9580	46.255	32.311	158.70	321.01	5.4374	14.963	0.056671	supercritical
210.00	7.1752	9.2456	0.10816	7.1491	7.9251	46.078	32.317	159.52	322.19	5.3553	15.106	0.057114	supercritical
210.00	7.2135	9.3590	0.10685	7.1218	7.8926	45.904	32.318	160.19	323.43	5.2732	15.250	0.057545	supercritical
210.00	7.2518	9.4719	0.10558	7.0948	7.8604	45.731	32.316	160.70	324.74	5.1913	15.396	0.057964	supercritical
210.00	7.2902	9.5842	0.10434	7.0680	7.8287	45.561	32.311	161.05	326.12	5.1097	15.543	0.058371	supercritical
210.00	7.3285	9.6958	0.10314	7.0415	7.7974	45.393	32.302	161.25	327.57	5.0284	15.690	0.058766	supercritical
210.00	7.3668	9.8064	0.10197	7.0153	7.7665	45.227	32.291	161.31	329.07	4.9477	15.839	0.059148	supercritical
210.00	7.4051	9.9161	0.10085	6.9894	7.7362	45.064	32.275	161.21	330.64	4.8676	15.988	0.059519	supercritical
210.00	7.4434	10.025	0.099754	6.9639	7.7064	44.904	32.257	160.98	332.27	4.7883	16.137	0.059877	supercritical
210.00	7.4817	10.132	0.098698	6.9387	7.6771	44.747	32.237	160.62	333.96	4.7098	16.287	0.060224	supercritical
210.00	7.5201	10.238	0.097675	6.9139	7.6484	44.592	32.213	160.14	335.70	4.6323	16.437	0.060560	supercritical
210.00	7.5584	10.343	0.096687	6.8895	7.6203	44.440	32.188	159.54	337.50	4.5557	16.586	0.060885	supercritical
210.00	7.5967	10.446	0.095732	6.8655	7.5927	44.292	32.160	158.85	339.34	4.4802	16.736	0.061200	supercritical
210.00	7.6350	10.548	0.094809	6.8419	7.5658	44.146	32.130	158.06	341.23	4.4059	16.884	0.061505	supercritical
210.00	7.6733	10.648	0.093918	6.8187	7.5394	44.003	32.098	157.19	343.17	4.3328	17.033	0.061801	supercritical
210.00	7.7116	10.746	0.093057	6.7959	7.5136	43.863	32.065	156.24	345.14	4.2609	17.181	0.062088	supercritical
210.00	7.7500	10.843	0.092225	6.7736	7.4883	43.726	32.031	155.23	347.15	4.1903	17.328	0.062367	supercritical
210.00	7.7883	10.938	0.091422	6.7517	7.4637	43.592	31.996	154.16	349.19	4.1210	17.474	0.062639	supercritical
210.00	7.8266	11.032	0.090647	6.7302	7.4397	43.461	31.960	153.05	351.27	4.0531	17.619	0.062903	supercritical
210.00	7.8649	11.124	0.089899	6.7091	7.4162	43.332	31.924	151.90	353.37	3.9865	17.763	0.063160	supercritical
210.00	7.9032	11.214	0.089176	6.6885	7.3933	43.207	31.887	150.71	355.49	3.9213	17.906	0.063411	supercritical
210.00	7.9415	11.302	0.088478	6.6682	7.3709	43.084	31.849	149.50	357.64	3.8574	18.047	0.063657	supercritical
210.00	7.9799	11.389	0.087803	6.6484	7.3491	42.964	31.812	148.27	359.80	3.7949	18.188	0.063897	supercritical
210.00	8.0182	11.474	0.087152	6.6290	7.3278	42.847	31.774	147.02	361.98	3.7338	18.327	0.064131	supercritical
210.00	8.0565	11.558	0.086522	6.6099	7.3070	42.732	31.737	145.76	364.17	3.6740	18.465	0.064362	supercritical
210.00	8.0948	11.640	0.085913	6.5913	7.2867	42.620	31.700	144.50	366.38	3.6156	18.602	0.064587	supercritical
210.00	8.1331	11.720	0.085324	6.5730	7.2669	42.510	31.663	143.24	368.59	3.5585	18.737	0.064809	supercritical
